GID	Pathway	Pathway_Name	Pathway_Class	Pathway_Subclass
9572	Cchi14390	ko03015	mRNA surveillance pathway	Genetic Information Processing	Translation
9573	Cchi14394	ko04144	Endocytosis	Cellular Processes	Transport and catabolism
9574	Cchi14394	ko04666	Fc gamma R-mediated phagocytosis	Organismal Systems	Immune system
9575	Cchi14394	ko04810	Regulation of actin cytoskeleton	Cellular Processes	Cell motility
9580	Cchi14401	ko00450	Selenocompound metabolism	Metabolism	Metabolism of other amino acids
9581	Cchi14401	ko00970	Aminoacyl-tRNA biosynthesis	Genetic Information Processing	Translation
9582	Cchi14403	ko00450	Selenocompound metabolism	Metabolism	Metabolism of other amino acids
9583	Cchi14403	ko00970	Aminoacyl-tRNA biosynthesis	Genetic Information Processing	Translation
9584	Cchi14424	ko00240	Pyrimidine metabolism	Metabolism	Nucleotide metabolism
9585	Cchi14424	ko00410	beta-Alanine metabolism	Metabolism	Metabolism of other amino acids
9586	Cchi14424	ko00770	Pantothenate and CoA biosynthesis	Metabolism	Metabolism of cofactors and vitamins
9587	Cchi14424	ko00983	Drug metabolism - other enzymes	Metabolism	Xenobiotics biodegradation and metabolism
9588	Cchi14430	ko00040	Pentose and glucuronate interconversions	Metabolism	Carbohydrate metabolism
9589	Cchi14430	ko00053	Ascorbate and aldarate metabolism	Metabolism	Carbohydrate metabolism
9590	Cchi14430	ko00140	Steroid hormone biosynthesis	Metabolism	Lipid metabolism
9591	Cchi14430	ko00830	Retinol metabolism	Metabolism	Metabolism of cofactors and vitamins
9592	Cchi14430	ko00860	Porphyrin and chlorophyll metabolism	Metabolism	Metabolism of cofactors and vitamins
9593	Cchi14430	ko00980	Metabolism of xenobiotics by cytochrome P450	Metabolism	Xenobiotics biodegradation and metabolism
9594	Cchi14430	ko00982	Drug metabolism - cytochrome P450	Metabolism	Xenobiotics biodegradation and metabolism
9595	Cchi14430	ko00983	Drug metabolism - other enzymes	Metabolism	Xenobiotics biodegradation and metabolism
9597	Cchi14435	ko04071	Sphingolipid signaling pathway	Environmental Information Processing	Signal transduction
9598	Cchi14435	ko04140	Autophagy - animal	Cellular Processes	Transport and catabolism
9599	Cchi14435	ko04142	Lysosome	Cellular Processes	Transport and catabolism
9600	Cchi14435	ko04210	Apoptosis	Cellular Processes	Cell growth and death
9601	Cchi14435	ko04915	Estrogen signaling pathway	Organismal Systems	Endocrine system
9603	Cchi14438	ko00040	Pentose and glucuronate interconversions	Metabolism	Carbohydrate metabolism
9604	Cchi14438	ko00053	Ascorbate and aldarate metabolism	Metabolism	Carbohydrate metabolism
9605	Cchi14438	ko00140	Steroid hormone biosynthesis	Metabolism	Lipid metabolism
9606	Cchi14438	ko00830	Retinol metabolism	Metabolism	Metabolism of cofactors and vitamins
9607	Cchi14438	ko00860	Porphyrin and chlorophyll metabolism	Metabolism	Metabolism of cofactors and vitamins
9608	Cchi14438	ko00980	Metabolism of xenobiotics by cytochrome P450	Metabolism	Xenobiotics biodegradation and metabolism
9609	Cchi14438	ko00982	Drug metabolism - cytochrome P450	Metabolism	Xenobiotics biodegradation and metabolism
9610	Cchi14438	ko00983	Drug metabolism - other enzymes	Metabolism	Xenobiotics biodegradation and metabolism
9612	Cchi14439	ko00040	Pentose and glucuronate interconversions	Metabolism	Carbohydrate metabolism
9613	Cchi14439	ko00053	Ascorbate and aldarate metabolism	Metabolism	Carbohydrate metabolism
9614	Cchi14439	ko00140	Steroid hormone biosynthesis	Metabolism	Lipid metabolism
9615	Cchi14439	ko00830	Retinol metabolism	Metabolism	Metabolism of cofactors and vitamins
9616	Cchi14439	ko00860	Porphyrin and chlorophyll metabolism	Metabolism	Metabolism of cofactors and vitamins
9617	Cchi14439	ko00980	Metabolism of xenobiotics by cytochrome P450	Metabolism	Xenobiotics biodegradation and metabolism
9618	Cchi14439	ko00982	Drug metabolism - cytochrome P450	Metabolism	Xenobiotics biodegradation and metabolism
9619	Cchi14439	ko00983	Drug metabolism - other enzymes	Metabolism	Xenobiotics biodegradation and metabolism
9622	Cchi14444	ko04062	Chemokine signaling pathway	Organismal Systems	Immune system
9623	Cchi14444	ko04068	FoxO signaling pathway	Environmental Information Processing	Signal transduction
9624	Cchi14444	ko04137	Mitophagy - animal	Cellular Processes	Transport and catabolism
9625	Cchi14444	ko04151	PI3K-Akt signaling pathway	Environmental Information Processing	Signal transduction
9626	Cchi14444	ko04152	AMPK signaling pathway	Environmental Information Processing	Signal transduction
9627	Cchi14444	ko04211	Longevity regulating pathway	Organismal Systems	Aging
9628	Cchi14444	ko04212	Longevity regulating pathway - worm	Organismal Systems	Aging
9629	Cchi14444	ko04213	Longevity regulating pathway - multiple species	Organismal Systems	Aging
9630	Cchi14444	ko04218	Cellular senescence	Cellular Processes	Cell growth and death
9631	Cchi14444	ko04722	Neurotrophin signaling pathway	Organismal Systems	Nervous system
9632	Cchi14444	ko04917	Prolactin signaling pathway	Organismal Systems	Endocrine system
9635	Cchi14446	ko04140	Autophagy - animal	Cellular Processes	Transport and catabolism
9636	Cchi14446	ko04142	Lysosome	Cellular Processes	Transport and catabolism
9637	Cchi14446	ko04210	Apoptosis	Cellular Processes	Cell growth and death
9638	Cchi14446	ko04612	Antigen processing and presentation	Organismal Systems	Immune system
9639	Cchi14446	ko04621	NOD-like receptor signaling pathway	Organismal Systems	Immune system
9640	Cchi14446	ko04924	Renin secretion	Organismal Systems	Endocrine system
9641	Cchi14447	ko00040	Pentose and glucuronate interconversions	Metabolism	Carbohydrate metabolism
9642	Cchi14447	ko00053	Ascorbate and aldarate metabolism	Metabolism	Carbohydrate metabolism
9643	Cchi14447	ko00140	Steroid hormone biosynthesis	Metabolism	Lipid metabolism
9644	Cchi14447	ko00830	Retinol metabolism	Metabolism	Metabolism of cofactors and vitamins
9645	Cchi14447	ko00860	Porphyrin and chlorophyll metabolism	Metabolism	Metabolism of cofactors and vitamins
9646	Cchi14447	ko00980	Metabolism of xenobiotics by cytochrome P450	Metabolism	Xenobiotics biodegradation and metabolism
9647	Cchi14447	ko00982	Drug metabolism - cytochrome P450	Metabolism	Xenobiotics biodegradation and metabolism
9648	Cchi14447	ko00983	Drug metabolism - other enzymes	Metabolism	Xenobiotics biodegradation and metabolism
9650	Cchi14456	ko03018	RNA degradation	Genetic Information Processing	Folding, sorting and degradation
9651	Cchi14458	ko00600	Sphingolipid metabolism	Metabolism	Lipid metabolism
9652	Cchi14458	ko04071	Sphingolipid signaling pathway	Environmental Information Processing	Signal transduction
9653	Cchi14458	ko04138	Autophagy - yeast	Cellular Processes	Transport and catabolism
9654	Cchi14464	ko00500	Starch and sucrose metabolism	Metabolism	Carbohydrate metabolism
9655	Cchi14464	ko02026	Biofilm formation - Escherichia coli	Cellular Processes	Cellular community - prokaryotes
9656	Cchi14464	ko04217	Necroptosis	Cellular Processes	Cell growth and death
9657	Cchi14464	ko04910	Insulin signaling pathway	Organismal Systems	Endocrine system
9658	Cchi14464	ko04922	Glucagon signaling pathway	Organismal Systems	Endocrine system
9660	Cchi14467	ko03460	Fanconi anemia pathway	Genetic Information Processing	Replication and repair
9661	Cchi14471	ko04112	Cell cycle - Caulobacter	Cellular Processes	Cell growth and death
9662	Cchi14473	ko04112	Cell cycle - Caulobacter	Cellular Processes	Cell growth and death
9663	Cchi14474	ko04919	Thyroid hormone signaling pathway	Organismal Systems	Endocrine system
9664	Cchi14476	ko03010	Ribosome	Genetic Information Processing	Translation
9665	Cchi14483	ko00480	Glutathione metabolism	Metabolism	Metabolism of other amino acids
9666	Cchi14483	ko00590	Arachidonic acid metabolism	Metabolism	Lipid metabolism
9667	Cchi14483	ko00980	Metabolism of xenobiotics by cytochrome P450	Metabolism	Xenobiotics biodegradation and metabolism
9668	Cchi14483	ko00982	Drug metabolism - cytochrome P450	Metabolism	Xenobiotics biodegradation and metabolism
9670	Cchi14488	ko04214	Apoptosis - fly	Cellular Processes	Cell growth and death
9672	Cchi14489	ko03420	Nucleotide excision repair	Genetic Information Processing	Replication and repair
9673	Cchi14489	ko03460	Fanconi anemia pathway	Genetic Information Processing	Replication and repair
9674	Cchi14491	ko04144	Endocytosis	Cellular Processes	Transport and catabolism
9675	Cchi14493	ko04612	Antigen processing and presentation	Organismal Systems	Immune system
9678	Cchi14494	ko04013	MAPK signaling pathway - fly	Environmental Information Processing	Signal transduction
9679	Cchi14494	ko04120	Ubiquitin mediated proteolysis	Genetic Information Processing	Folding, sorting and degradation
9680	Cchi14494	ko04141	Protein processing in endoplasmic reticulum	Genetic Information Processing	Folding, sorting and degradation
9681	Cchi14494	ko04624	Toll and Imd signaling pathway	Organismal Systems	Immune system
9682	Cchi14495	ko04013	MAPK signaling pathway - fly	Environmental Information Processing	Signal transduction
9683	Cchi14495	ko04120	Ubiquitin mediated proteolysis	Genetic Information Processing	Folding, sorting and degradation
9684	Cchi14495	ko04141	Protein processing in endoplasmic reticulum	Genetic Information Processing	Folding, sorting and degradation
9685	Cchi14495	ko04624	Toll and Imd signaling pathway	Organismal Systems	Immune system
9686	Cchi14497	ko00280	Valine, leucine and isoleucine degradation	Metabolism	Amino acid metabolism
9687	Cchi14499	ko04013	MAPK signaling pathway - fly	Environmental Information Processing	Signal transduction
9688	Cchi14499	ko04310	Wnt signaling pathway	Environmental Information Processing	Signal transduction
9689	Cchi14499	ko04330	Notch signaling pathway	Environmental Information Processing	Signal transduction
9690	Cchi14501	ko04144	Endocytosis	Cellular Processes	Transport and catabolism
9691	Cchi14501	ko04212	Longevity regulating pathway - worm	Organismal Systems	Aging
9692	Cchi14515	ko00512	Mucin type O-glycan biosynthesis	Metabolism	Glycan biosynthesis and metabolism
9693	Cchi14519	ko02010	ABC transporters	Environmental Information Processing	Membrane transport
9694	Cchi14522	ko00250	Alanine, aspartate and glutamate metabolism	Metabolism	Amino acid metabolism
9695	Cchi14522	ko00520	Amino sugar and nucleotide sugar metabolism	Metabolism	Carbohydrate metabolism
9697	Cchi14528	ko00010	Glycolysis / Gluconeogenesis	Metabolism	Carbohydrate metabolism
9698	Cchi14528	ko00071	Fatty acid degradation	Metabolism	Lipid metabolism
9699	Cchi14528	ko00350	Tyrosine metabolism	Metabolism	Amino acid metabolism
9700	Cchi14528	ko00625	Chloroalkane and chloroalkene degradation	Metabolism	Xenobiotics biodegradation and metabolism
9701	Cchi14528	ko00626	Naphthalene degradation	Metabolism	Xenobiotics biodegradation and metabolism
9702	Cchi14528	ko00680	Methane metabolism	Metabolism	Energy metabolism
9703	Cchi14528	ko00830	Retinol metabolism	Metabolism	Metabolism of cofactors and vitamins
9704	Cchi14528	ko00980	Metabolism of xenobiotics by cytochrome P450	Metabolism	Xenobiotics biodegradation and metabolism
9705	Cchi14528	ko00982	Drug metabolism - cytochrome P450	Metabolism	Xenobiotics biodegradation and metabolism
9707	Cchi14530	ko04214	Apoptosis - fly	Cellular Processes	Cell growth and death
9708	Cchi14538	ko04975	Fat digestion and absorption	Organismal Systems	Digestive system
9709	Cchi14540	ko00520	Amino sugar and nucleotide sugar metabolism	Metabolism	Carbohydrate metabolism
9710	Cchi14541	ko04530	Tight junction	Cellular Processes	Cellular community - eukaryotes
9711	Cchi14544	ko04391	Hippo signaling pathway - fly	Environmental Information Processing	Signal transduction
9712	Cchi14547	ko04530	Tight junction	Cellular Processes	Cellular community - eukaryotes
9713	Cchi14552	ko00620	Pyruvate metabolism	Metabolism	Carbohydrate metabolism
9714	Cchi14552	ko00710	Carbon fixation in photosynthetic organisms	Metabolism	Energy metabolism
9715	Cchi14560	ko04725	Cholinergic synapse	Organismal Systems	Nervous system
9718	Cchi14567	ko04010	MAPK signaling pathway	Environmental Information Processing	Signal transduction
9719	Cchi14567	ko04014	Ras signaling pathway	Environmental Information Processing	Signal transduction
9720	Cchi14567	ko04024	cAMP signaling pathway	Environmental Information Processing	Signal transduction
9721	Cchi14567	ko04062	Chemokine signaling pathway	Organismal Systems	Immune system
9722	Cchi14567	ko04064	NF-kappa B signaling pathway	Environmental Information Processing	Signal transduction
9723	Cchi14567	ko04066	HIF-1 signaling pathway	Environmental Information Processing	Signal transduction
9724	Cchi14567	ko04071	Sphingolipid signaling pathway	Environmental Information Processing	Signal transduction
9725	Cchi14567	ko04151	PI3K-Akt signaling pathway	Environmental Information Processing	Signal transduction
9726	Cchi14567	ko04210	Apoptosis	Cellular Processes	Cell growth and death
9727	Cchi14567	ko04211	Longevity regulating pathway	Organismal Systems	Aging
9728	Cchi14567	ko04218	Cellular senescence	Cellular Processes	Cell growth and death
9729	Cchi14567	ko04380	Osteoclast differentiation	Organismal Systems	Development
9730	Cchi14567	ko04620	Toll-like receptor signaling pathway	Organismal Systems	Immune system
9731	Cchi14567	ko04621	NOD-like receptor signaling pathway	Organismal Systems	Immune system
9732	Cchi14567	ko04622	RIG-I-like receptor signaling pathway	Organismal Systems	Immune system
9733	Cchi14567	ko04623	Cytosolic DNA-sensing pathway	Organismal Systems	Immune system
9734	Cchi14567	ko04624	Toll and Imd signaling pathway	Organismal Systems	Immune system
9735	Cchi14567	ko04657	IL-17 signaling pathway	Organismal Systems	Immune system
9736	Cchi14567	ko04658	Th1 and Th2 cell differentiation	Organismal Systems	Immune system
9737	Cchi14567	ko04659	Th17 cell differentiation	Organismal Systems	Immune system
9738	Cchi14567	ko04660	T cell receptor signaling pathway	Organismal Systems	Immune system
9739	Cchi14567	ko04662	B cell receptor signaling pathway	Organismal Systems	Immune system
9740	Cchi14567	ko04668	TNF signaling pathway	Environmental Information Processing	Signal transduction
9741	Cchi14567	ko04722	Neurotrophin signaling pathway	Organismal Systems	Nervous system
9742	Cchi14567	ko04917	Prolactin signaling pathway	Organismal Systems	Endocrine system
9743	Cchi14567	ko04920	Adipocytokine signaling pathway	Organismal Systems	Endocrine system
9744	Cchi14567	ko04926	Relaxin signaling pathway	Organismal Systems	Endocrine system
9780	Cchi14571	ko04310	Wnt signaling pathway	Environmental Information Processing	Signal transduction
9781	Cchi14571	ko04330	Notch signaling pathway	Environmental Information Processing	Signal transduction
9782	Cchi14571	ko04722	Neurotrophin signaling pathway	Organismal Systems	Nervous system
9785	Cchi14577	ko03050	Proteasome	Genetic Information Processing	Folding, sorting and degradation
9786	Cchi14584	ko00040	Pentose and glucuronate interconversions	Metabolism	Carbohydrate metabolism
9787	Cchi14584	ko00053	Ascorbate and aldarate metabolism	Metabolism	Carbohydrate metabolism
9788	Cchi14584	ko00140	Steroid hormone biosynthesis	Metabolism	Lipid metabolism
9789	Cchi14584	ko00830	Retinol metabolism	Metabolism	Metabolism of cofactors and vitamins
9790	Cchi14584	ko00860	Porphyrin and chlorophyll metabolism	Metabolism	Metabolism of cofactors and vitamins
9791	Cchi14584	ko00980	Metabolism of xenobiotics by cytochrome P450	Metabolism	Xenobiotics biodegradation and metabolism
9792	Cchi14584	ko00982	Drug metabolism - cytochrome P450	Metabolism	Xenobiotics biodegradation and metabolism
9793	Cchi14584	ko00983	Drug metabolism - other enzymes	Metabolism	Xenobiotics biodegradation and metabolism
9795	Cchi14605	ko00740	Riboflavin metabolism	Metabolism	Metabolism of cofactors and vitamins
9796	Cchi14607	ko04115	p53 signaling pathway	Cellular Processes	Cell growth and death
9797	Cchi14618	ko03013	RNA transport	Genetic Information Processing	Translation
9798	Cchi14618	ko03015	mRNA surveillance pathway	Genetic Information Processing	Translation
9799	Cchi14618	ko03040	Spliceosome	Genetic Information Processing	Transcription
9800	Cchi14618	ko04020	Calcium signaling pathway	Environmental Information Processing	Signal transduction
9801	Cchi14618	ko04080	Neuroactive ligand-receptor interaction	Environmental Information Processing	Signaling molecules and interaction
9803	Cchi14624	ko00534	Glycosaminoglycan biosynthesis - heparan sulfate / heparin	Metabolism	Glycan biosynthesis and metabolism
9804	Cchi14627	ko04141	Protein processing in endoplasmic reticulum	Genetic Information Processing	Folding, sorting and degradation
9806	Cchi14652	ko04130	SNARE interactions in vesicular transport	Genetic Information Processing	Folding, sorting and degradation
9807	Cchi14660	ko04013	MAPK signaling pathway - fly	Environmental Information Processing	Signal transduction
9808	Cchi14664	ko00072	Synthesis and degradation of ketone bodies	Metabolism	Lipid metabolism
9809	Cchi14664	ko00280	Valine, leucine and isoleucine degradation	Metabolism	Amino acid metabolism
9810	Cchi14664	ko00650	Butanoate metabolism	Metabolism	Carbohydrate metabolism
9811	Cchi14664	ko00900	Terpenoid backbone biosynthesis	Metabolism	Metabolism of terpenoids and polyketides
9812	Cchi14665	ko04141	Protein processing in endoplasmic reticulum	Genetic Information Processing	Folding, sorting and degradation
9813	Cchi14669	ko03040	Spliceosome	Genetic Information Processing	Transcription
9814	Cchi14671	ko04130	SNARE interactions in vesicular transport	Genetic Information Processing	Folding, sorting and degradation
9815	Cchi14674	ko03010	Ribosome	Genetic Information Processing	Translation
9816	Cchi14697	ko00563	Glycosylphosphatidylinositol (GPI)-anchor biosynthesis	Metabolism	Glycan biosynthesis and metabolism
9817	Cchi14703	ko04024	cAMP signaling pathway	Environmental Information Processing	Signal transduction
9818	Cchi14703	ko04062	Chemokine signaling pathway	Organismal Systems	Immune system
9819	Cchi14703	ko04064	NF-kappa B signaling pathway	Environmental Information Processing	Signal transduction
9820	Cchi14703	ko04210	Apoptosis	Cellular Processes	Cell growth and death
9821	Cchi14703	ko04380	Osteoclast differentiation	Organismal Systems	Development
9822	Cchi14703	ko04620	Toll-like receptor signaling pathway	Organismal Systems	Immune system
9823	Cchi14703	ko04621	NOD-like receptor signaling pathway	Organismal Systems	Immune system
9824	Cchi14703	ko04622	RIG-I-like receptor signaling pathway	Organismal Systems	Immune system
9825	Cchi14703	ko04623	Cytosolic DNA-sensing pathway	Organismal Systems	Immune system
9826	Cchi14703	ko04624	Toll and Imd signaling pathway	Organismal Systems	Immune system
9827	Cchi14703	ko04657	IL-17 signaling pathway	Organismal Systems	Immune system
9828	Cchi14703	ko04658	Th1 and Th2 cell differentiation	Organismal Systems	Immune system
9829	Cchi14703	ko04659	Th17 cell differentiation	Organismal Systems	Immune system
9830	Cchi14703	ko04660	T cell receptor signaling pathway	Organismal Systems	Immune system
9831	Cchi14703	ko04662	B cell receptor signaling pathway	Organismal Systems	Immune system
9832	Cchi14703	ko04668	TNF signaling pathway	Environmental Information Processing	Signal transduction
9833	Cchi14703	ko04722	Neurotrophin signaling pathway	Organismal Systems	Nervous system
9834	Cchi14703	ko04920	Adipocytokine signaling pathway	Organismal Systems	Endocrine system
9835	Cchi14703	ko04926	Relaxin signaling pathway	Organismal Systems	Endocrine system
9856	Cchi14705	ko03008	Ribosome biogenesis in eukaryotes	Genetic Information Processing	Translation
9857	Cchi14705	ko03013	RNA transport	Genetic Information Processing	Translation
9858	Cchi14705	ko04013	MAPK signaling pathway - fly	Environmental Information Processing	Signal transduction
9862	Cchi14712	ko04014	Ras signaling pathway	Environmental Information Processing	Signal transduction
9863	Cchi14712	ko04624	Toll and Imd signaling pathway	Organismal Systems	Immune system
9866	Cchi14720	ko04062	Chemokine signaling pathway	Organismal Systems	Immune system
9869	Cchi14730	ko00190	Oxidative phosphorylation	Metabolism	Energy metabolism
9870	Cchi14730	ko04142	Lysosome	Cellular Processes	Transport and catabolism
9871	Cchi14730	ko04145	Phagosome	Cellular Processes	Transport and catabolism
9872	Cchi14730	ko04150	mTOR signaling pathway	Environmental Information Processing	Signal transduction
9873	Cchi14730	ko04721	Synaptic vesicle cycle	Organismal Systems	Nervous system
9878	Cchi14731	ko03008	Ribosome biogenesis in eukaryotes	Genetic Information Processing	Translation
9879	Cchi14734	ko00030	Pentose phosphate pathway	Metabolism	Carbohydrate metabolism
9880	Cchi14736	ko04141	Protein processing in endoplasmic reticulum	Genetic Information Processing	Folding, sorting and degradation
9881	Cchi14740	ko03010	Ribosome	Genetic Information Processing	Translation
9884	Cchi14759	ko04918	Thyroid hormone synthesis	Organismal Systems	Endocrine system
9885	Cchi14760	ko00020	Citrate cycle (TCA cycle)	Metabolism	Carbohydrate metabolism
9887	Cchi14768	ko03040	Spliceosome	Genetic Information Processing	Transcription
9888	Cchi14772	ko00512	Mucin type O-glycan biosynthesis	Metabolism	Glycan biosynthesis and metabolism
9889	Cchi14775	ko03010	Ribosome	Genetic Information Processing	Translation
9890	Cchi14777	ko03010	Ribosome	Genetic Information Processing	Translation
9891	Cchi14784	ko04130	SNARE interactions in vesicular transport	Genetic Information Processing	Folding, sorting and degradation
9892	Cchi14786	ko00600	Sphingolipid metabolism	Metabolism	Lipid metabolism
9893	Cchi14786	ko04071	Sphingolipid signaling pathway	Environmental Information Processing	Signal transduction
9894	Cchi14791	ko04391	Hippo signaling pathway - fly	Environmental Information Processing	Signal transduction
9895	Cchi14792	ko04391	Hippo signaling pathway - fly	Environmental Information Processing	Signal transduction
9896	Cchi14794	ko04110	Cell cycle	Cellular Processes	Cell growth and death
9897	Cchi14794	ko04114	Oocyte meiosis	Cellular Processes	Cell growth and death
9898	Cchi14794	ko04914	Progesterone-mediated oocyte maturation	Organismal Systems	Endocrine system
9901	Cchi14798	ko04010	MAPK signaling pathway	Environmental Information Processing	Signal transduction
9902	Cchi14798	ko04013	MAPK signaling pathway - fly	Environmental Information Processing	Signal transduction
9903	Cchi14798	ko04064	NF-kappa B signaling pathway	Environmental Information Processing	Signal transduction
9904	Cchi14798	ko04140	Autophagy - animal	Cellular Processes	Transport and catabolism
9905	Cchi14798	ko04152	AMPK signaling pathway	Environmental Information Processing	Signal transduction
9906	Cchi14798	ko04214	Apoptosis - fly	Cellular Processes	Cell growth and death
9907	Cchi14798	ko04310	Wnt signaling pathway	Environmental Information Processing	Signal transduction
9908	Cchi14798	ko04380	Osteoclast differentiation	Organismal Systems	Development
9909	Cchi14798	ko04520	Adherens junction	Cellular Processes	Cellular community - eukaryotes
9910	Cchi14798	ko04620	Toll-like receptor signaling pathway	Organismal Systems	Immune system
9911	Cchi14798	ko04621	NOD-like receptor signaling pathway	Organismal Systems	Immune system
9912	Cchi14798	ko04622	RIG-I-like receptor signaling pathway	Organismal Systems	Immune system
9913	Cchi14798	ko04624	Toll and Imd signaling pathway	Organismal Systems	Immune system
9914	Cchi14798	ko04657	IL-17 signaling pathway	Organismal Systems	Immune system
9915	Cchi14798	ko04660	T cell receptor signaling pathway	Organismal Systems	Immune system
9916	Cchi14798	ko04668	TNF signaling pathway	Environmental Information Processing	Signal transduction
9923	Cchi14800	ko00510	N-Glycan biosynthesis	Metabolism	Glycan biosynthesis and metabolism
9924	Cchi14800	ko00513	Various types of N-glycan biosynthesis	Metabolism	Glycan biosynthesis and metabolism
9925	Cchi14803	ko00230	Purine metabolism	Metabolism	Nucleotide metabolism
9926	Cchi14803	ko00240	Pyrimidine metabolism	Metabolism	Nucleotide metabolism
9927	Cchi14803	ko03020	RNA polymerase	Genetic Information Processing	Transcription
9928	Cchi14804	ko00230	Purine metabolism	Metabolism	Nucleotide metabolism
9929	Cchi14804	ko00240	Pyrimidine metabolism	Metabolism	Nucleotide metabolism
9930	Cchi14804	ko03020	RNA polymerase	Genetic Information Processing	Transcription
9931	Cchi14805	ko03040	Spliceosome	Genetic Information Processing	Transcription
9932	Cchi14810	ko04111	Cell cycle - yeast	Cellular Processes	Cell growth and death
9933	Cchi14811	ko00670	One carbon pool by folate	Metabolism	Metabolism of cofactors and vitamins
9934	Cchi14819	ko04919	Thyroid hormone signaling pathway	Organismal Systems	Endocrine system
9935	Cchi14821	ko04141	Protein processing in endoplasmic reticulum	Genetic Information Processing	Folding, sorting and degradation
9937	Cchi14822	ko04080	Neuroactive ligand-receptor interaction	Environmental Information Processing	Signaling molecules and interaction
9938	Cchi14822	ko04723	Retrograde endocannabinoid signaling	Organismal Systems	Nervous system
9939	Cchi14822	ko04726	Serotonergic synapse	Organismal Systems	Nervous system
9940	Cchi14822	ko04727	GABAergic synapse	Organismal Systems	Nervous system
9943	Cchi14828	ko04110	Cell cycle	Cellular Processes	Cell growth and death
9944	Cchi14828	ko04114	Oocyte meiosis	Cellular Processes	Cell growth and death
9945	Cchi14828	ko04115	p53 signaling pathway	Cellular Processes	Cell growth and death
9946	Cchi14828	ko04218	Cellular senescence	Cellular Processes	Cell growth and death
9947	Cchi14828	ko04540	Gap junction	Cellular Processes	Cellular community - eukaryotes
9948	Cchi14828	ko04914	Progesterone-mediated oocyte maturation	Organismal Systems	Endocrine system
9952	Cchi14831	ko00532	Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate	Metabolism	Glycan biosynthesis and metabolism
9953	Cchi14833	ko00532	Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate	Metabolism	Glycan biosynthesis and metabolism
9954	Cchi14835	ko03015	mRNA surveillance pathway	Genetic Information Processing	Translation
9955	Cchi14847	ko04320	Dorso-ventral axis formation	Organismal Systems	Development
9956	Cchi14848	ko00230	Purine metabolism	Metabolism	Nucleotide metabolism
9957	Cchi14848	ko00240	Pyrimidine metabolism	Metabolism	Nucleotide metabolism
9958	Cchi14848	ko03020	RNA polymerase	Genetic Information Processing	Transcription
9959	Cchi14848	ko04623	Cytosolic DNA-sensing pathway	Organismal Systems	Immune system
9962	Cchi14849	ko00010	Glycolysis / Gluconeogenesis	Metabolism	Carbohydrate metabolism
9963	Cchi14849	ko00020	Citrate cycle (TCA cycle)	Metabolism	Carbohydrate metabolism
9964	Cchi14849	ko00620	Pyruvate metabolism	Metabolism	Carbohydrate metabolism
9965	Cchi14855	ko04141	Protein processing in endoplasmic reticulum	Genetic Information Processing	Folding, sorting and degradation
9966	Cchi14856	ko03040	Spliceosome	Genetic Information Processing	Transcription
9967	Cchi14861	ko04120	Ubiquitin mediated proteolysis	Genetic Information Processing	Folding, sorting and degradation
9968	Cchi14862	ko04013	MAPK signaling pathway - fly	Environmental Information Processing	Signal transduction
9969	Cchi14862	ko04310	Wnt signaling pathway	Environmental Information Processing	Signal transduction
9970	Cchi14862	ko04330	Notch signaling pathway	Environmental Information Processing	Signal transduction
9971	Cchi14863	ko03013	RNA transport	Genetic Information Processing	Translation
9972	Cchi14863	ko03015	mRNA surveillance pathway	Genetic Information Processing	Translation
9973	Cchi14863	ko03040	Spliceosome	Genetic Information Processing	Transcription
9974	Cchi14866	ko03013	RNA transport	Genetic Information Processing	Translation
9975	Cchi14873	ko00650	Butanoate metabolism	Metabolism	Carbohydrate metabolism
9976	Cchi14878	ko04911	Insulin secretion	Organismal Systems	Endocrine system
9977	Cchi14882	ko04911	Insulin secretion	Organismal Systems	Endocrine system
9978	Cchi14884	ko04911	Insulin secretion	Organismal Systems	Endocrine system
9979	Cchi14888	ko00310	Lysine degradation	Metabolism	Amino acid metabolism
9980	Cchi14889	ko00310	Lysine degradation	Metabolism	Amino acid metabolism
9982	Cchi14901	ko02010	ABC transporters	Environmental Information Processing	Membrane transport
9983	Cchi14912	ko04013	MAPK signaling pathway - fly	Environmental Information Processing	Signal transduction
9984	Cchi14912	ko04068	FoxO signaling pathway	Environmental Information Processing	Signal transduction
9985	Cchi14912	ko04146	Peroxisome	Cellular Processes	Transport and catabolism
9986	Cchi14912	ko04211	Longevity regulating pathway	Organismal Systems	Aging
9987	Cchi14912	ko04212	Longevity regulating pathway - worm	Organismal Systems	Aging
9988	Cchi14912	ko04213	Longevity regulating pathway - multiple species	Organismal Systems	Aging
9990	Cchi14918	ko03460	Fanconi anemia pathway	Genetic Information Processing	Replication and repair
9991	Cchi14930	ko00230	Purine metabolism	Metabolism	Nucleotide metabolism
9992	Cchi14930	ko00240	Pyrimidine metabolism	Metabolism	Nucleotide metabolism
9993	Cchi14930	ko03020	RNA polymerase	Genetic Information Processing	Transcription
9994	Cchi14930	ko04623	Cytosolic DNA-sensing pathway	Organismal Systems	Immune system
9996	Cchi14939	ko03015	mRNA surveillance pathway	Genetic Information Processing	Translation
9997	Cchi14940	ko00480	Glutathione metabolism	Metabolism	Metabolism of other amino acids
